StartStation Name,July 5th,August 2nd,July 12th,July 26th,Average Count,July 19th(Heatwave day),Latitude,Longitude
"Everington Street, Fulham",39.0,37.0,36.0,27.0,34.75,23.0,51.483356,-0.216305
"Eversholt Street , Camden Town",27.0,17.0,23.0,24.0,22.75,27.0,51.533005,-0.136792
"Evesham Street, Avondale",15.0,15.0,10.0,11.0,12.75,17.0,51.511486,-0.21819
"Exhibition Road Museums 1, South Kensington",41.0,61.0,51.0,41.0,48.5,46.0,51.496468,-0.173796
"Exhibition Road Museums 2, South Kensington",65.0,45.0,50.0,56.0,54.0,34.0,51.495947,-0.173689
"Exhibition Road, Knightsbridge",121.0,128.0,119.0,133.0,125.25,111.0,51.499917,-0.174554
"Falcon Road, Clapham Junction",92.0,91.0,102.0,87.0,93.0,66.0,51.466633,-0.169821
"Falkirk Street, Hoxton",50.0,48.0,44.0,33.0,43.75,33.0,51.53095,-0.078505
"Fanshaw Street, Hoxton",75.0,76.0,87.0,66.0,76.0,75.0,51.529537,-0.083353
"Farm Street, Mayfair",33.0,39.0,38.0,27.0,34.25,25.0,51.509351,-0.147449
"Farringdon Lane, Clerkenwell",54.0,48.0,43.0,30.0,43.75,38.0,51.52352,-0.10834
"Farringdon Street, Holborn",44.0,44.0,38.0,47.0,43.25,39.0,51.516785,-0.104947
"Fashion Street, Whitechapel",60.0,42.0,57.0,34.0,48.25,26.0,51.51838,-0.073438
"Fawcett Close, Battersea",21.0,23.0,27.0,22.0,23.25,19.0,51.469161,-0.174485
"Felsham Road, Putney",19.0,23.0,20.0,16.0,19.5,28.0,51.464786,-0.215618
"Ferndale Road, Brixton",51.0,56.0,84.0,44.0,58.75,69.0,51.464019,-0.115781
"Finlay Street, Fulham",47.0,30.0,28.0,24.0,32.25,32.0,51.476885,-0.215895
"Finnis Street, Bethnal Green",31.0,33.0,33.0,18.0,28.75,25.0,51.524583,-0.058631
"Finsbury Circus, Liverpool Street",147.0,132.0,125.0,130.0,133.5,88.0,51.517075,-0.086685
"Finsbury Leisure Centre, St. Luke's",74.0,69.0,93.0,97.0,83.25,83.0,51.526008,-0.096317
"Finsbury Library , Finsbury",28.0,35.0,27.0,34.0,31.0,29.0,51.526717,-0.104298
"Finsbury Square , Moorgate",58.0,70.0,47.0,54.0,57.25,48.0,51.520962,-0.085634
"Fire Brigade Pier, Vauxhall",50.0,47.0,54.0,53.0,51.0,43.0,51.493699,-0.121394
"Fisherman's Walk West, Canary Wharf",45.0,68.0,42.0,45.0,50.0,38.0,51.50623,-0.02296
"Flamborough Street, Limehouse",80.0,75.0,79.0,75.0,77.25,72.0,51.512871,-0.038986
"Flood Street, Chelsea",98.0,92.0,92.0,92.0,93.5,83.0,51.488023,-0.166878
"Foley Street, Fitzrovia",59.0,56.0,58.0,50.0,55.75,44.0,51.519181,-0.140485
"Ford Road, Old Ford",42.0,28.0,37.0,33.0,35.0,35.0,51.532513,-0.033085
"Fore Street Avenue, Guildhall",54.0,49.0,42.0,63.0,52.0,36.0,51.518093,-0.091401
"Fore Street, Guildhall",26.0,31.0,29.0,38.0,31.0,22.0,51.517842,-0.090075
"Fournier Street, Whitechapel",54.0,69.0,54.0,67.0,61.0,53.0,51.519362,-0.074431
"Frampton Street, Paddington",32.0,31.0,24.0,29.0,29.0,43.0,51.523353,-0.175116
"Freston Road, Avondale",18.0,14.0,15.0,16.0,15.75,14.0,51.512981,-0.219486
"Frith Street, Soho",52.0,82.0,78.0,68.0,70.0,54.0,51.513103,-0.131213
"Fulham Broadway, Walham Green",123.0,99.0,117.0,84.0,105.75,106.0,51.479932,-0.194116
"Fulham Park Road, Fulham",28.0,32.0,42.0,22.0,31.0,26.0,51.473471,-0.20782
"Furze Green, Bow",49.0,44.0,52.0,45.0,47.5,49.0,51.519265,-0.021345
"Garnet Street, Shadwell",32.0,39.0,53.0,33.0,39.25,53.0,51.508447,-0.055167
"Gas Holders, Battersea Park",119.0,126.0,100.0,116.0,115.25,84.0,51.477966,-0.147857
"Gascoyne Road, Victoria Park",43.0,58.0,46.0,33.0,45.0,40.0,51.541515,-0.038557
"Gauden Road, Clapham",45.0,63.0,53.0,63.0,56.0,47.0,51.464995,-0.130908
"Gaywood  Street, Elephant & Castle",36.0,42.0,47.0,38.0,40.75,42.0,51.49605,-0.104193
"George Place Mews, Marylebone",56.0,42.0,56.0,35.0,47.25,39.0,51.516892,-0.158249
